+Lupulus,spain,0,0,0,0,blond
+Malta,spain,0,9,5.1,2007,amber
+Negra,spain,0,0,0,0,white
10 Commandments,usa,0,0,0,0,dark
12 Gauge,new_zealand,0,0,0,0,speciality
1488 Whisky Beer,scotland,0,0,0,0,0
1612er Zwicklbier,germany,0,7 - 8,5.3,0,amber
3 Fonteinen Oude Gueuze Vintage,belgium,0,0,0,0,0
3 Fonteinen Oude Kriek,belgium,0,0,0,0,0
3 Monts,france,0,0,0,0,0
3 Ravens White,autralia,0,0,0,0,0
5 Barrel Pale Ale,usa,0,7,5.2,0,amber
6-Korn Bier,germany,0,8 - 10,4.7,0,amber
90 Minute Imperial IPA,usa,0,0,0,0,0
90 Shilling,usa,0,13,5.6,0,amber
A. Le Coq Porter,estonia,0,0,0,0,0
Aardmonnik,belgium,0,12,8,0,amber
Abbaye D’Aulne Triple Blonde,belgium,0,0,0,0,0
Abbaye des Rocs,belgium,0,13,9,0,amber
ABC Extra Stout,singapore,0,0,0,0,0
Achel Blond 8°,belgium,0,0,0,0,0
Achel Bruin Bier Extra,belgium,0,8-10,9.5,0,amber
Adam,usa,0,0,0,0,0
Adelscott,france,0,9,6,0,amber
Adnams Broadside,england,0,10-12,6.3,0,amber
Adnams The Bitter,england,0,10-13,4.5,0,amber
Advents-Bier,germany,0,0,0,0,0
Aecht Schlenkerla Rauchbier,germany,0,7-8,5.2,0,amber
Alaskan Amber,usa,0,9,5.3,0,amber
Alaskan ESB,usa,0,10,5,0,amber
Alaskan Smoked Porter,usa,0,0,0,0,0
Aldaris Porteris,latvia,0,0,0,0,0
AleSmith IPA,usa,0,13,7.25,0,amber
Alhambra Negra,spain,0,0,0,0,0
Allagash Tripel Reserve,usa,0,0,0,0,0
Alpha Dog,usa,0,7,8,0,amber
Alpha King,usa,0,4,6,0,amber
Alpha Pale Ale,autralia,0,0,0,0,0
Altbayrisch Dunkel,germany,0,8-10,5,0,amber
Altenburger Schwarze,germany,0,0,0,0,0
Amager IPA,denmark,0,5-8,7,0,amber
Amber Shock,italy,0,6-8,7,0,amber
Amnesiac Double IPA,canada,0,0,0,0,0
Anchor Porter,usa,0,0,0,0,0
Anchor Steam Beer,usa,0,7,4.9,0,amber
Andechs Doppelbock Dunkel,germany,0,0,0,0,0
Andechser Weissbier Hell,germany,0,0,0,0,0
Angel’s Share Ale,usa,0,0,0,0,0
Angry Boy Brown Ale,japan,0,8-12,6.2,0,amber
Anniversary Ale,usa,0,0,0,0,0
Antares Stout Imperial,argentina,0,0,0,0,0
Arabier,belgium,0,0,0,0,0
Arctic Global Warmer,england,0,0,0,0,0
Ardenne Blond,norway,0,0,0,0,0
Arrogant Bastard Ale,usa,0,13,7.2,0,amber
Artigian Ale,italy,0,10-12,6.2,0,amber
Asahi Black,japan,0,0,0,0,0
Asgaard Das Gottliche,germany,0,8,4.8,0,amber
